,concelho,ano,mes,distrito,numero_de_CPEs_nao_inclui_contador_inteligente,numero_de_CPEs_inclui_contador_inteligente
373,Aljustrel,2022,12,Beja,1729,4307
374,Aljustrel,2023,1,Beja,1950,4092
375,Aljustrel,2023,2,Beja,1738,4307
376,Aljustrel,2023,3,Beja,1673,4372
377,Aljustrel,2023,4,Beja,1675,4370
378,Aljustrel,2023,5,Beja,1653,4392
379,Aljustrel,2023,6,Beja,1652,4406
380,Aljustrel,2023,7,Beja,1651,4413
381,Aljustrel,2023,8,Beja,1639,4429
382,Aljustrel,2023,9,Beja,1632,4442
383,Aljustrel,2023,10,Beja,1057,5011
384,Aljustrel,2023,11,Beja,858,5218
385,Aljustrel,2023,12,Beja,706,5373
386,Aljustrel,2024,1,Beja,684,5388
387,Aljustrel,2024,2,Beja,615,5458
388,Aljustrel,2024,3,Beja,603,5472
389,Aljustrel,2024,4,Beja,603,5474
390,Almada,2022,3,Setúbal,32683,82799
391,Almada,2022,4,Setúbal,33550,81926
392,Almada,2022,5,Setúbal,31435,84052
393,Almada,2022,6,Setúbal,31742,83845
394,Almada,2022,7,Setúbal,29436,86218
395,Almada,2022,8,Setúbal,28907,86783
396,Almada,2022,9,Setúbal,27102,88668
397,Almada,2022,10,Setúbal,26784,89052
398,Almada,2022,11,Setúbal,26364,89540
399,Almada,2022,12,Setúbal,25608,90340
400,Almada,2023,1,Setúbal,25063,90981
401,Almada,2023,2,Setúbal,25166,90952
402,Almada,2023,3,Setúbal,23513,92633
403,Almada,2023,4,Setúbal,23594,92552
404,Almada,2023,5,Setúbal,23212,92934
405,Almada,2023,6,Setúbal,21631,94816
406,Almada,2023,7,Setúbal,19662,96870
407,Almada,2023,8,Setúbal,18759,97793
408,Almada,2023,9,Setúbal,16568,100002
409,Almada,2023,10,Setúbal,15776,100841
410,Almada,2023,11,Setúbal,14399,102262
411,Almada,2023,12,Setúbal,12464,104167
412,Almada,2024,1,Setúbal,11702,104953
413,Almada,2024,2,Setúbal,10792,105840
414,Almada,2024,3,Setúbal,9807,106929
415,Almada,2024,4,Setúbal,9643,107107
416,Almeida,2022,3,Guarda,3646,3361
417,Almeida,2022,4,Guarda,3671,3338
418,Almeida,2022,5,Guarda,3481,3512
419,Almeida,2022,6,Guarda,3473,3514
420,Almeida,2022,7,Guarda,3291,3696
421,Almeida,2022,8,Guarda,3198,3790
422,Almeida,2022,9,Guarda,3210,3773
423,Almeida,2022,10,Guarda,3067,3923
424,Almeida,2022,11,Guarda,3160,3827
425,Almeida,2022,12,Guarda,3027,3965
426,Almeida,2023,1,Guarda,3112,3880
427,Almeida,2023,2,Guarda,2957,4041
428,Almeida,2023,3,Guarda,2607,4388
429,Almeida,2023,4,Guarda,2603,4392
430,Almeida,2023,5,Guarda,2412,4583
431,Almeida,2023,6,Guarda,2286,4728
432,Almeida,2023,7,Guarda,1915,5108
433,Almeida,2023,8,Guarda,1725,5301
434,Almeida,2023,9,Guarda,1508,5511
435,Almeida,2023,10,Guarda,1436,5587
436,Almeida,2023,11,Guarda,1167,5858
437,Almeida,2023,12,Guarda,921,6107
438,Almeida,2024,1,Guarda,866,6157
439,Almeida,2024,2,Guarda,770,6249
440,Almeida,2024,3,Guarda,691,6323
441,Almeida,2024,4,Guarda,677,6336
442,Almeirim,2022,3,Santarém,5273,8593
443,Almeirim,2022,4,Santarém,5053,8841
444,Almeirim,2022,5,Santarém,4977,8950
445,Almeirim,2022,6,Santarém,5336,8637
446,Almeirim,2022,7,Santarém,4955,9031
447,Almeirim,2022,8,Santarém,5059,8938
448,Almeirim,2022,9,Santarém,5039,8930
449,Almeirim,2022,10,Santarém,4780,9178
450,Almeirim,2022,11,Santarém,4763,9181
451,Almeirim,2022,12,Santarém,4597,9341
452,Almeirim,2023,1,Santarém,4652,9290
453,Almeirim,2023,2,Santarém,4486,9468
454,Almeirim,2023,3,Santarém,4274,9719
455,Almeirim,2023,4,Santarém,4254,9739
456,Almeirim,2023,5,Santarém,3936,10057
457,Almeirim,2023,6,Santarém,3882,10235
458,Almeirim,2023,7,Santarém,3840,10284
459,Almeirim,2023,8,Santarém,3765,10362
460,Almeirim,2023,9,Santarém,3587,10520
461,Almeirim,2023,10,Santarém,3433,10657
462,Almeirim,2023,11,Santarém,3271,10809
463,Almeirim,2023,12,Santarém,3198,10889
464,Almeirim,2024,1,Santarém,2939,11153
465,Almeirim,2024,2,Santarém,2726,11367
466,Almeirim,2024,3,Santarém,2357,11761
467,Almeirim,2024,4,Santarém,2289,11828
468,Almodôvar,2022,3,Beja,3320,2339
469,Almodôvar,2022,4,Beja,3273,2383
470,Almodôvar,2022,5,Beja,3253,2400
471,Almodôvar,2022,6,Beja,3268,2391
472,Almodôvar,2022,7,Beja,3208,2451
473,Almodôvar,2022,8,Beja,3169,2496
