,concelho,ano,mes,distrito,ordens_servico_realizadas_(#)_configuracao_de_EMI,ordens_servico_realizadas_(#)_outros,ordens_servico_realizadas_(#)_reducao_de_potencia_contratada,ordens_servico_realizadas_(#)_reposicao_de_potencia_contratada,ordens_servico_realizadas_(#)_servico_alteracao_contractual,ordens_servico_realizadas_(#)_servico_de_corte_e_re-ligacao
251,Alcácer do Sal,2023,8,Setúbal,2,0,37,47,28,19
252,Alcácer do Sal,2023,9,Setúbal,6,0,51,41,34,20
253,Alcácer do Sal,2023,10,Setúbal,7,0,62,51,25,16
254,Alcácer do Sal,2023,11,Setúbal,6,0,89,66,33,16
255,Alcácer do Sal,2023,12,Setúbal,8,0,49,47,41,12
256,Alcácer do Sal,2024,1,Setúbal,6,0,71,67,42,17
257,Alcácer do Sal,2024,2,Setúbal,5,0,33,23,10,12
258,Alcácer do Sal,2024,3,Setúbal,7,0,51,43,30,17
259,Alcácer do Sal,2024,4,Setúbal,1,0,8,9,5,4
260,Alenquer,2022,3,Lisboa,6,1,110,107,37,38
261,Alenquer,2022,4,Lisboa,20,0,182,186,102,58
262,Alenquer,2022,5,Lisboa,11,0,272,195,99,54
263,Alenquer,2022,6,Lisboa,10,0,263,242,92,70
264,Alenquer,2022,7,Lisboa,9,0,259,210,79,43
265,Alenquer,2022,8,Lisboa,6,0,282,249,96,63
266,Alenquer,2022,9,Lisboa,13,0,229,205,105,44
267,Alenquer,2022,10,Lisboa,52,0,186,166,125,54
268,Alenquer,2022,11,Lisboa,288,0,225,186,129,46
269,Alenquer,2022,12,Lisboa,220,0,189,178,134,34
270,Alenquer,2023,1,Lisboa,215,2,307,228,142,62
271,Alenquer,2023,2,Lisboa,411,0,246,220,104,51
272,Alenquer,2023,3,Lisboa,453,0,275,240,135,53
273,Alenquer,2023,4,Lisboa,407,0,266,229,95,72
274,Alenquer,2023,5,Lisboa,323,0,339,248,98,67
275,Alenquer,2023,6,Lisboa,69,0,254,249,107,77
276,Alenquer,2023,7,Lisboa,16,0,253,207,95,58
277,Alenquer,2023,8,Lisboa,10,0,267,224,106,71
278,Alenquer,2023,9,Lisboa,14,0,223,209,95,64
279,Alenquer,2023,10,Lisboa,16,0,312,231,118,73
280,Alenquer,2023,11,Lisboa,11,0,345,302,112,65
281,Alenquer,2023,12,Lisboa,4,0,199,172,135,29
282,Alenquer,2024,1,Lisboa,3,0,304,213,136,45
283,Alenquer,2024,2,Lisboa,15,0,134,103,75,25
284,Alenquer,2024,3,Lisboa,19,0,226,168,107,35
285,Alenquer,2024,4,Lisboa,0,0,46,25,7,11
286,Alfândega da Fé,2022,3,Bragança,0,0,11,6,2,4
287,Alfândega da Fé,2022,4,Bragança,2,0,21,24,9,16
288,Alfândega da Fé,2022,5,Bragança,0,0,30,22,6,12
289,Alfândega da Fé,2022,6,Bragança,3,0,25,24,8,9
290,Alfândega da Fé,2022,7,Bragança,2,0,20,14,7,4
291,Alfândega da Fé,2022,8,Bragança,2,0,30,22,11,11
292,Alfândega da Fé,2022,9,Bragança,0,0,28,23,7,17
