,Ano,Mês,Concelho,Energia Ativa (kWh)
79315,2024,1,Vila Velha de Ródão,113213.659
79316,2024,1,Amarante,164085.633
79317,2024,1,Abrantes,202051.742
79318,2024,1,Alcanena,263266.051
79319,2024,1,Rio Maior,282847.79
79320,2024,1,Sabrosa,54689.561
79321,2024,1,Tarouca,123080.091
79322,2024,1,Viseu,236014.791
79323,2024,1,Vouzela,33438.387
79324,2024,2,Vimioso,128371.52
79325,2024,2,Paredes,76171.414
79326,2024,2,Boticas,10930.589
79327,2024,2,Lamego,91014.733
79328,2023,4,Viseu,4390305.461
79329,2022,11,Faro,326323.931
79423,2022,1,Góis,69418.343
79424,2022,1,Montemor-o-Novo,164432.053
79425,2022,1,Oeiras,9874514.061
79426,2022,1,Campo Maior,526690.84
79427,2022,1,Tomar,169978.826
79428,2022,1,Ponte de Lima,37995.098
79429,2022,1,Resende,195223.536
79430,2022,1,Santa Comba Dão,394944.743
79431,2022,1,Tabuaço,23743.454
79432,2022,2,Vila Flor,50554.718
79433,2022,2,Figueira da Foz,434642.321
79434,2022,2,Lousã,2334767.278
79435,2022,2,Fornos de Algodres,68305.236
79436,2022,2,Rio Maior,69923.086
79437,2022,2,Palmela,3961920.132
79438,2022,3,Beja,353590.351
79439,2022,3,Braga,2446742.892
79440,2022,3,Vila Nova de Famalicão,18326.761
79441,2022,3,Castelo Branco,113712.197
79442,2022,3,Lagos,241374.023
79443,2022,3,Sabugal,48949.388
79444,2022,3,Abrantes,161324.217
79445,2022,3,Tabuaço,106682.804
79446,2022,4,Oliveira do Bairro,950773.723
79447,2022,4,Castelo Branco,109898.878
79448,2022,4,Portel,72008.932
79449,2022,4,Fornos de Algodres,35752.565
79450,2022,4,Porto de Mós,1091955.823
79451,2022,4,Vila Nova de Gaia,4228270.045
79452,2022,4,Caminha,53804.71
79453,2022,4,Mesão Frio,114680.639
79454,2022,4,Cinfães,180691.516
79455,2022,5,Guimarães,1034322.727
79456,2022,5,Castelo Branco,96567.412
79457,2022,5,Fundão,157254.535
79458,2022,5,Arganil,61661.425
79459,2022,5,Almeida,33327.108
79460,2022,5,Pinhel,27698.018
79461,2022,5,Seia,68301.466
79462,2022,5,Sernancelhe,192053.348
79463,2022,6,Arouca,52763.243
79464,2022,6,Fafe,205672.354
79465,2022,6,Terras de Bouro,31445.023
79466,2022,6,Sintra,1170541.463
79467,2022,6,Marco de Canaveses,449718.814
79468,2022,6,Monção,92019.537
79469,2022,6,Viseu,181699.841
79470,2022,7,Celorico de Basto,313062.208
79471,2022,7,Gouveia,20416.226
79472,2022,7,Vila Pouca de Aguiar,62926.809
79473,2022,7,Tondela,514435.487
79474,2022,8,Guimarães,168978.999
79475,2022,8,Vila Verde,277575.271
79476,2022,8,Mirandela,67886.138
79477,2022,8,Mirandela,21562.526
79478,2022,8,Póvoa de Varzim,194298.141
79479,2022,8,Sabrosa,83243.619
79480,2022,8,São João da Pesqueira,48310.5
79481,2022,9,Mértola,37169.614
79482,2022,9,Terras de Bouro,39199.499
79483,2022,9,Vila Nova de Famalicão,389147.634
79484,2022,9,Montemor-o-Velho,137861.855
79485,2022,9,Trancoso,23154.653
79486,2022,9,Amarante,130979.87
79487,2022,9,Santo Tirso,7421305.723
79488,2022,9,Vila Nova de Gaia,7020778.139
79489,2022,9,Rio Maior,166121.786
79490,2022,9,Ponte de Lima,107728.087
79491,2022,10,Barcelos,56650.017
79492,2022,10,Vila Verde,150553.837
79493,2022,10,Lagoa,1253024.535
79494,2022,10,Maia,2962076.731
79495,2022,11,Vila Nova de Famalicão,1194346.975
79496,2022,11,Almeirim,50791.385
79579,2022,1,Santa Maria da Feira,555780.27
79580,2022,1,Guimarães,298916.871
79581,2022,1,Penamacor,60968.6
79582,2022,1,Penafiel,371613.734
79583,2022,1,Mondim de Basto,51606.167
79584,2022,1,Murça,519163.042
79585,2022,2,Fafe,3026343.146
79586,2022,2,Torre de Moncorvo,45101.908
79587,2022,2,Silves,1512184.675
79588,2022,2,Fornos de Algodres,26135.224
79589,2022,2,Óbidos,594048.798
79590,2022,2,Seixal,3379789.072
79591,2022,2,Arcos de Valdevez,41132.747
79592,2022,2,Chaves,65666.14
79593,2022,2,Chaves,30169.665
79594,2022,2,Montalegre,26298.605
79595,2022,3,Águeda,51738.308
79596,2022,3,Aljezur,1195105.822
79597,2022,3,Pombal,188929.891
79598,2022,3,Moimenta da Beira,775275.053
79599,2022,4,Santa Maria da Feira,1062739.302
79600,2022,4,Aljustrel,205678.014
79601,2022,4,Braga,235502.905
79602,2022,4,Penamacor,90018.35
79603,2022,4,Lousã,145015.795
79604,2022,4,Oliveira do Hospital,306967.442
79605,2022,4,Évora,147943.287
79606,2022,4,Cascais,2921100.395
79607,2022,4,Odivelas,4481501.057
79608,2022,4,Felgueiras,46198.85
79609,2022,4,Sines,60340230.203
79610,2022,5,Amares,55975.569
79611,2022,5,Vila Nova de Famalicão,1406115.262
79612,2022,5,Bragança,55950.469
79613,2022,5,Mora,173611.777
79614,2022,5,Guarda,20340.099
79615,2022,5,Mêda,27150.336
79616,2022,5,Lisboa,3193814.476
79617,2022,5,Lisboa,3626233.652
79618,2022,5,Ponte de Lima,119417.875
79619,2022,5,Cinfães,323060.891
79620,2022,5,São João da Pesqueira,39199.727
79621,2022,6,Montemor-o-Velho,372375.789
79622,2022,6,Arronches,18397.774
79623,2022,6,Lousada,727487.963
79624,2022,6,Penafiel,2700742.766
79625,2022,7,Vagos,272780.414
79626,2022,7,Mértola,88432.065
79627,2022,7,Póvoa de Lanhoso,236232.458
79628,2022,7,Montemor-o-Novo,226265.152
79629,2022,7,Vila do Bispo,361166.991
79630,2022,7,Penafiel,136573.505
79631,2022,7,Vila Nova de Gaia,7105839.808
79632,2022,7,Palmela,18208755.617
79633,2022,7,Arcos de Valdevez,183193.679
79634,2022,7,Peso da Régua,1890286.151
79635,2022,7,Santa Marta de Penaguião,37927.836
79636,2022,7,Castro daire,146186.096
79637,2022,7,Oliveira de Frades,106124.608
79638,2022,7,Sátão,697681.331
79639,2022,8,Anadia,204234.199
79640,2022,8,Barcelos,203077.676
79641,2022,8,Celorico de Basto,308841.384
79642,2022,8,Vila Nova de Famalicão,1423096.162
79643,2022,8,Macedo de Cavaleiros,49044.272
79644,2022,8,Penamacor,115441.428
79645,2022,8,Montemor-o-Novo,1959538.218
79646,2022,8,Castro Marim,49437.385
79647,2022,8,Oeiras,5224534.293
79648,2022,9,Guarda,39577.04
79649,2022,9,Sintra,1172385.664
79650,2022,9,Paredes de Coura,46947.346
79651,2022,9,Montalegre,8866.383
79652,2022,9,Vila Pouca de Aguiar,23173.049
79653,2022,9,Viseu,89682.919
79654,2022,9,Viseu,531538.795
79655,2022,10,Barcelos,90200.501
79656,2022,10,Braga,1426346.756
79657,2022,10,Esposende,2102933.545
79658,2022,10,Vieira do Minho,74383.481
79659,2022,10,Vila Nova de Famalicão,2368563.982
79660,2022,10,Gouveia,65578.905
79661,2022,10,Sabugal,24901.493
79662,2022,10,Caldas da Rainha,37720.13
79663,2022,10,Baião,83185.265
79664,2022,10,Paços de Ferreira,1207365.63
79665,2022,1,Vimioso,405228.57
79666,2022,10,Viana do Castelo,403456.666
79667,2022,1,Coimbra,3081716.033
79668,2022,10,Cinfães,36291.403
79669,2022,1,Loures,4755590.058
79670,2022,10,Mangualde,8340577.996
79671,2022,1,Vila Nova de Gaia,4168864.137
79672,2022,11,Aveiro,1027075.58
79673,2022,1,Setúbal,12578773.151
79674,2022,11,Vale de Cambra,161469.78
79675,2022,1,Caminha,21970.774
79676,2022,11,Terras de Bouro,51824.569
79677,2022,1,Moimenta da Beira,30496.111
79678,2022,11,Arganil,193719.564
79679,2022,2,Barcelos,114951.174
79680,2022,11,Ferreira do Zêzere,216063.152
